HOSTNAME,IP,DOTNET,JAVA,DOCKER,PODMAN,AZCLI,AZCOPY,NODE,NPM
m1h-tnext7,192.168.106.253,8.0.412,-,28.1.1,5.6.0,2.73.0,-,-,-
M1H-tnext1,192.168.106.82,8.0.412,openjdkversion"17.0.18"2026-01-20LTS,5.6.0,5.6.0,-,10.31.1,v22.17.1,10.9.2
m1h-saas,192.168.107.127,-,-,28.0.1,5.6.0,-,-,-,-
m1h-saas1,192.168.107.128,-,-,28.0.1,5.6.0,2.52.0,-,v18.20.8,10.8.2
m1h-saas2,192.168.107.129,-,-,28.0.1,5.6.0,-,-,-,-
m1h-docker1,192.168.107.147,8.0.412,javaversion"21.0.10"2026-01-20LTS,27.4.0,5.6.0,2.67.0,-,v22.21.1,10.9.4
M1h-Docker2,192.168.107.197,8.0.414,javaversion"21.0.8"2025-07-15LTS,28.4.0,-,2.52.0,10.30.0~preview.2,v22.21.1,10.9.4
tnt-kub11,192.168.110.183,,openjdkversion"17.0.18"2026-01-20LTS,-,5.6.0,2.67.0,-,-,-
tnt-kub12,192.168.110.184,-,openjdkversion"17.0.18"2026-01-20LTS,-,5.6.0,-,-,-,-
tnt-kub13,192.168.110.185,-,openjdkversion"17.0.18"2026-01-20LTS,-,5.6.0,-,-,-,-
tnt-kub14,192.168.110.186,-,-,-,5.6.0,-,-,-,-
B1H-tnext2,192.168.110.130,8.0.412,openjdkversion"17.0.18"2026-01-20LTS,-,5.6.0,-,-,v18.20.8,10.8.2
tnt-kub1,192.168.107.62,-,-,27.5.1,5.6.0,2.69.0,-,v16.20.2,8.19.4
tnt-kub2,192.168.107.63,-,-,27.5.1,5.6.0,2.62.0,-,-,-
tnt-kub3,192.168.107.64,-,javaversion"17.0.12"2024-07-16LTS,27.5.1,5.6.0,2.63.0,-,-,-
M1H-tnext3,192.168.107.113,8.0.412,-,-,5.6.0,2.82.0,-,v22.19.0,10.9.3
m1h-tnext4,192.168.106.100,8.0.412,openjdkversion"17.0.18"2026-01-20LTS,5.6.0,5.6.0,2.76.0,-,v20.19.1,11.3.0
b1h-tnext5,192.168.110.217,8.0.412,-,-,5.6.0,-,-,-,-
m1h-tnext6,192.168.107.136,,javaversion"17.0.12"2024-07-16LTS,-,5.6.0,2.69.0,-,-,-
b1h-saas3,192.168.110.211,-,openjdkversion"17.0.18"2026-01-20LTS,28.0.1,5.6.0,-,-,-,-
b1h-saas4,192.168.110.212,-,-,28.0.1,5.6.0,-,-,-,-
b1h-saas5,192.168.110.213,-,openjdkversion"17.0.18"2026-01-20LTS,28.0.1,5.6.0,-,-,-,-
m1h-saas6,192.168.106.127,-,-,28.0.2,5.6.0,-,-,-,-
m1h-saas7,192.168.106.222,-,-,28.0.1,5.6.0,-,-,-,-
m1h-develastic,192.168.107.110,-,-,28.1.1,5.6.0,-,-,-,-
b1h-saas9,192.168.110.175,-,-,28.1.1,5.6.0,-,-,-,-
m1h-saas10,192.168.106.113,-,-,28.1.1,5.6.0,-,-,-,-
m1h-saas11,192.168.106.228,-,-,28.1.1,5.6.0,-,-,-,-
m1h-saas12,192.168.107.139,-,-,28.1.1,5.6.0,-,-,-,-
m1h-saas13,192.168.106.106,-,-,28.3.2,5.6.0,-,-,-,-
m1h-saas14,192.168.106.101,-,-,28.3.2,5.6.0,-,-,-,-
b1h-devkafka,192.168.110.199,-,-,29.2.0,5.6.0,-,-,-,-
b1h-tfdeploy,192.168.110.124,8.0.412,javaversion"17.0.12"2024-07-16LTS,29.2.0,5.6.0,2.75.0,10.30.0~preview.2,-,-
b1h-docker3,192.168.110.180,8.0.403,javaversion"21.0.8"2025-07-15LTS,28.5.1,-,2.52.0,10.30.1,v22.19.0,10.9.3
m1h-devlinkdocker1,192.168.106.145,8.0.412,javaversion"17.0.5"2022-10-18LTS,28.3.2,5.6.0,2.52.0,10.30.0~preview.2,v22.19.0,10.9.3
m1h-devlinkdocker2,192.168.106.168,8.0.412,javaversion"17.0.5"2022-10-18LTS,29.2.0,5.6.0,2.82.0,10.31.1,-,-
m1h-dockertestl,192.168.107.243,8.0.419,openjdkversion"17.0.18"2026-01-20LTS,28.3.2,5.6.0,2.85.0,-,v20.20.2,10.8.2
m1h-saas15,192.168.107.244,-,-,28.3.2,5.6.0,-,-,-,-
m1h-devkafka,192.168.106.162,-,-,28.5.1,5.6.0,-,-,-,-
m1h-devlink,192.168.106.123,-,-,29.1.5,5.6.0,-,-,-,-
m1h-saas16,192.168.107.82,-,-,29.0.2,5.6.0,-,-,-,-
m1h-saas18,192.168.108.189,-,-,29.1.3,5.6.0,-,-,-,-
m1h-tnextdockertest2,192.168.108.191,-,-,29.1.5,5.6.0,-,-,-,-
b1h-devlinkdocker4,192.168.111.190,-,-,29.3.1,5.6.0,-,-,-,-
m1h-saas19,192.168.108.196,-,-,29.2.0,5.6.0,-,-,-,-
m1h-saas22,192.168.108.197,-,-,29.2.0,5.6.0,-,-,-,-
m1h-saas21,192.168.108.199,-,-,29.2.0,5.6.0,-,-,-,-
m1h-saas20,192.168.108.198,-,-,29.2.0,5.6.0,-,-,-,-
m1h-saas23,192.168.108.200,-,-,29.2.0,5.6.0,-,-,-,-
m1h-docker4,192.168.106.182,8.0.414,-,28.4.0,5.6.0,2.52.0,10.30.0~preview.2,-,-
